Designator,Footprint,Quantity,Value,LCSC Part #
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074CDT,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074CDT,
C14,C_0402_1005Metric,1,100n,
C13,C_0402_1005Metric,1,100n,
C11,C_0402_1005Metric,1,100n,
R22,R_1206_3216Metric,1,1k,
R21,R_1206_3216Metric,1,1k,
R20,R_0402_1005Metric,1,100k,
R19,R_0402_1005Metric,1,100k,
R18,R_0402_1005Metric,1,100k,
R17,R_0402_1005Metric,1,100k,
R16,R_1206_3216Metric,1,1k,
R15,R_1206_3216Metric,1,1k,
R14,R_0402_1005Metric,1,100k,
R13,R_0402_1005Metric,1,100k,
R12,R_0402_1005Metric,1,100k,
R11,R_0402_1005Metric,1,100k,
R10,R_1206_3216Metric,1,1k,
R9,R_1206_3216Metric,1,1k,
R8,R_0402_1005Metric,1,100k,
R7,R_0402_1005Metric,1,100k,
R6,R_0402_1005Metric,1,100k,
R5,R_0402_1005Metric,1,100k,
R4,R_0402_1005Metric,1,100k,
R3,R_0402_1005Metric,1,100k,
R2,R_0402_1005Metric,1,100k,
R1,R_0402_1005Metric,1,100k,
J9,Power_2x8_Horizontal,1,Power,
J8,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 2-3,
J7,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 1-3,
J6,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 2-2,
J5,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 1-2,
J4,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 2-1,
J3,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out 1-1,
J2,Jack_3.5mm_QingPu_WQP-PJ324M,1,In 2,
J1,Jack_3.5mm_QingPu_WQP-PJ324M,1,In 1,
D2,D_SOD-323,1,1N5819WS,
D1,D_SOD-323,1,1N5819WS,
C12,CP_EIA-3216-18_Kemet-A,1,10u/16,
C10,C_0402_1005Metric,1,100n,
C9,CP_EIA-3216-18_Kemet-A,1,10u/16,
C8,C_0402_1005Metric,1,10p,
C7,C_0402_1005Metric,1,10p,
C6,C_0402_1005Metric,1,10p,
C5,C_0402_1005Metric,1,10p,
C4,C_0402_1005Metric,1,10p,
C3,C_0402_1005Metric,1,10p,
C2,C_0402_1005Metric,1,10p,
C1,C_0402_1005Metric,1,10p,
